Question_Sample,nova-pro-run2_PAST,nova-premier-run2_PAST,qwen3-turbo-latest-run2_PAST
Average_q103,1.2,1.85,1.0
Max_q103,2,2,1
Min_q103,1,1,1
Mode_q103,1,2,1
Average_q104,6.9,6.7,7.7
Max_q104,7,7,11
Min_q104,6,6,6
Mode_q104,7,7,7
Average_q201,2.0,2.0,2.0
Max_q201,2,2,2
Min_q201,2,2,2
Mode_q201,2,2,2
Average_q202,2.0,2.0,2.0
Max_q202,2,2,2
Min_q202,2,2,2
Mode_q202,2,2,2
Average_q301,3.0,3.6,3.0
Max_q301,3,11,3
Min_q301,3,3,3
Mode_q301,3,3,3
Average_q302,4.3,3.0,3.0
Max_q302,20,3,3
Min_q302,3,3,3
Mode_q302,3,3,3
Average_q401,2.15,5.4,6.55
Max_q401,5,7,9
Min_q401,2,5,2
Mode_q401,2,5,8
Average_q402,2.0,5.1,5.05
Max_q402,2,7,8
Min_q402,2,5,2
Mode_q402,2,5,8
